user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-A and C,Users-less-mean-C,Users-High-mean-N,Team_CPB-I-median,Team_CPB-O-median,No-JobState-in-Team,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt-Less-A-mean,Dpt-Less-AC-mean,Dpt-less-C-mean,Dpt-High-N-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,No-JobState-in-Dpt,Job State,Leader_CPB-I,Leader_CPB-O
NRO1752,33.0,16.0,18.0,45.0,32.0,-16.2462666667,-19.1851066667,18,5,8,18,-17.908,-17.9412,1,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-11.132,-15.3548,
TMT1509,36.0,44.0,20.0,23.0,34.0,-16.2301333333,-20.4108533333,15,6,9,16,-17.908,-20.5412,3,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-16.456,-17.4984,
SNC0218,39.0,19.0,23.0,15.0,31.0,0,0,0,0,0,0,0,0,0,-15.0846666667,-17.6002,4,2,3,1,-15.488,-14.6032,1,18,-14.52,-12.228,
MAS0783,20.0,15.0,24.0,14.0,33.0,-15.5848,-21.39272,4,2,4,3,-17.666,-24.8874,2,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-20.328,-28.0392,
ACB1485,24.0,22.0,24.0,42.0,35.0,-15.4234666667,-17.7901866667,17,6,12,13,-16.94,-17.906,5,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-11.616,-8.7424,
SJC0232,14.0,17.0,34.0,19.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-18.876,-23.9564,
SKB1024,34.0,44.0,17.0,21.0,28.0,-13.7456,-19.01184,9,6,11,11,-12.1,-21.63,2,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-5.808,-9.5712,
JSB0803,16.0,40.0,27.0,39.0,39.0,-15.0766,-18.89774,12,7,10,9,-15.73,-18.057,3,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-10.648,-24.5672,
NBP0252,39.0,24.0,45.0,37.0,31.0,0,0,0,0,0,0,0,0,0,-15.488,-22.7498666667,1,0,2,1,-14.52,-23.668,0,18,-20.328,-16.5992,
CAH0595,34.0,30.0,38.0,23.0,27.0,-16.3286315789,-19.5942947368,9,5,6,8,-17.424,-20.9136,1,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-7.26,-8.454,
ACJ1797,23.0,32.0,19.0,26.0,32.0,-16.0688,-20.3096533333,16,5,9,16,-18.634,-20.2426,6,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-18.876,-31.2364,
CKR1446,46.0,15.0,35.0,23.0,32.0,-16.9722666667,-20.7065066667,6,3,4,7,-19.36,-21.504,0,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,18,-22.264,-23.9496,
RJW1406,47.0,39.0,31.0,23.0,34.0,-16.0849333333,-18.7199066667,17,8,12,16,-18.15,-17.495,5,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-16.94,-26.486,
EBQ1246,42.0,40.0,19.0,23.0,33.0,-15.1008,-20.30912,15,8,13,16,-16.698,-20.6922,3,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-21.78,-14.962,
BCC1597,16.0,16.0,19.0,33.0,28.0,-13.9714666667,-18.76872,17,10,15,16,-13.552,-15.5728,3,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-20.812,-17.7868,
JMK1531,38.0,22.0,19.0,26.0,36.0,-14.8910666667,-19.2918266667,16,7,12,15,-16.94,-18.686,0,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-11.132,-12.7548,
AGB0901,22.0,44.0,15.0,26.0,30.0,-15.9397333333,-20.5302933333,9,3,6,7,-17.908,-17.4212,3,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-10.164,-18.6996,
HSG1585,26.0,12.0,43.0,18.0,35.0,-14.036,-19.0484,16,9,15,15,-13.552,-16.8728,3,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-20.812,-17.7868,
SFS1109,35.0,39.0,36.0,49.0,34.0,-15.6009333333,-18.8669733333,17,7,11,16,-17.666,-18.6474,6,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-4.84,-20.716,
TLW1050,15.0,22.0,17.0,41.0,30.0,-16.4076,-19.2863066667,17,6,12,16,-17.666,-18.6474,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-14.036,-16.7604,
LTS1378,15.0,11.0,28.0,22.0,23.0,-16.2462666667,-20.45044,12,4,12,20,-17.424,-22.4736,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-19.36,-26.184,
HDW0743,37.0,35.0,35.0,21.0,24.0,-14.6490666667,-20.69136,7,5,8,7,-13.068,-19.5852,3,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-19.36,-27.744,
ZWS0755,45.0,47.0,42.0,39.0,28.0,-16.6496,-21.27544,9,3,7,14,-18.15,-23.215,1,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-16.94,-18.166,
DWR1387,45.0,23.0,42.0,35.0,33.0,-16.3430666667,-18.5906266667,18,8,11,16,-18.634,-17.6426,5,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-16.94,-26.486,
GDC0055,21.0,36.0,43.0,17.0,16.0,0,0,0,0,0,0,0,0,0,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-19.844,-28.9316,
ILG0879,48.0,21.0,16.0,22.0,21.0,-14.6006666667,-18.3192666667,19,10,13,16,-16.698,-16.5322,2,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,9,-18.876,-17.1964,
MAC1175,35.0,18.0,21.0,39.0,36.0,-14.2296,-18.69144,7,4,7,7,-15.972,-20.4708,1,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-9.196,-12.1644,
MCW0505,33.0,42.0,26.0,42.0,27.0,-15.488,-17.4805333333,9,5,8,6,-14.52,-14.828,1,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-11.616,-12.3824,
OAJ0244,46.0,47.0,19.0,27.0,29.0,0,0,0,0,0,0,0,0,0,-15.004,-15.7556,5,3,3,1,-15.004,-14.1956,1,18,-7.26,-9.494,
BCB1715,40.0,31.0,40.0,19.0,30.0,-14.0521333333,-17.0599866667,20,8,15,18,-15.004,-16.0156,4,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-6.292,-17.5188,
GTC0614,33.0,38.0,16.0,20.0,26.0,-15.9397333333,-21.1196266667,13,3,14,18,-16.456,-22.4384,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-20.328,-28.0392,
BTG1551,36.0,46.0,25.0,19.0,23.0,-15.2621333333,-20.9476533333,6,3,7,7,-17.424,-20.9136,5,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,18,-7.26,-21.974,
JHP1654,36.0,44.0,30.0,36.0,32.0,-14.1812,-19.09268,18,12,16,20,-13.552,-16.6128,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,3,-8.228,-21.2292,
UTM0493,47.0,26.0,40.0,34.0,33.0,-13.4229333333,-19.06944,8,7,9,6,-10.164,-15.5796,2,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-20.812,-22.4668,
HTR0239,37.0,42.0,33.0,20.0,28.0,0,0,0,0,0,0,0,0,0,-15.488,-22.7498666667,1,0,2,1,-14.52,-23.668,0,18,-11.132,-13.7948,
OCW1127,42.0,42.0,38.0,22.0,34.0,-14.5442,-19.54138,10,4,8,13,-17.908,-20.2812,5,-14.4877333333,-18.6834933333,34,14,27,36,-16.214,-17.9446,16,5,-4.84,-23.316,
WBK1077,23.0,11.0,40.0,41.0,25.0,-16.456,-19.3704,18,4,8,12,-17.424,-17.2736,4,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-17.424,-14.1536,
KGL0178,37.0,16.0,40.0,16.0,33.0,0,0,0,0,0,0,0,0,0,-13.673,-21.3297,1,1,3,3,-13.068,-23.2252,1,18,-11.616,-25.3824,
EBG1553,24.0,13.0,45.0,30.0,33.0,-14.3425333333,-16.95788,21,9,15,18,-15.488,-16.1632,4,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-10.164,-11.9396,
TCC0771,16.0,40.0,18.0,34.0,21.0,-17.7789333333,-18.31784,10,2,3,7,-18.876,-16.1564,2,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-22.748,-13.1772,
KPM1002,35.0,44.0,50.0,46.0,27.0,-16.4318,-18.58302,13,4,7,11,-17.908,-17.6812,1,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-20.328,-18.1592,
PAG0429,45.0,15.0,42.0,22.0,28.0,-14.6974666667,-18.3487866667,19,10,13,16,-16.698,-16.5322,3,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-18.876,-17.1964,
RKC0355,40.0,23.0,37.0,33.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-8.228,-12.3892,
TBM1476,34.0,33.0,28.0,14.0,30.0,-15.246,-18.2214,16,6,13,13,-16.94,-18.946,5,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-11.616,-8.7424,
KMC1934,43.0,44.0,34.0,42.0,34.0,-17.1981333333,-21.0873866667,15,4,7,14,-17.908,-20.5412,5,-15.3153630573,-19.5319541401,84,33,63,80,-17.424,-19.3536,20,18,-23.716,-22.8324,
JDS0177,33.0,40.0,31.0,23.0,21.0,0,0,0,0,0,0,0,0,0,-19.481,-20.3709,2,0,0,0,-19.602,-20.0178,0,18,-19.844,-21.6516,
LIJ1581,43.0,35.0,21.0,19.0,30.0,-13.6649333333,-18.9179066667,16,10,16,15,-11.374,-16.2086,3,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-20.812,-17.7868,
TCA1183,22.0,15.0,18.0,11.0,22.0,-14.3264,-19.6916266667,6,3,7,8,-15.972,-21.5108,1,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-9.196,-12.1644,
SJP1023,10.0,40.0,25.0,17.0,29.0,-13.8424,-19.14536,9,6,11,11,-12.1,-21.63,2,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-5.808,-9.5712,
KEO0202,34.0,40.0,39.0,36.0,24.0,-16.0688,-19.7549866667,17,7,11,12,-18.15,-18.015,5,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-11.132,-16.3948,
OHS0036,25.0,19.0,36.0,13.0,27.0,-15.4557333333,-19.7240266667,7,3,7,6,-16.456,-21.1384,0,-15.4557333333,-19.40336,33,16,29,32,-16.456,-18.7984,6,18,-19.844,-22.1716,
RKF0080,36.0,41.0,18.0,25.0,36.0,-17.4562666667,-22.1021066667,5,3,4,6,-17.908,-22.6212,3,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-21.296,-29.8944,
UMH1547,10.0,39.0,17.0,33.0,30.0,-14.3264,-18.92896,10,7,9,11,-14.52,-16.908,0,-14.84428,-19.726492,50,29,52,54,-15.004,-19.3956,8,18,-5.324,-18.7836,
BCL1423,41.0,37.0,16.0,15.0,33.0,-14.6006666667,-20.7806,14,7,14,17,-16.456,-21.3984,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-11.132,-11.1948,
DCD0715,38.0,46.0,10.0,50.0,37.0,-19.3277333333,-21.3208266667,6,1,2,6,-19.844,-22.1716,2,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-14.52,-14.828,
KBG1201,18.0,36.0,18.0,39.0,31.0,-14.7378,-18.43042,11,6,9,7,-15.972,-17.3508,1,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-14.52,-13.788,
GAF1862,15.0,36.0,21.0,42.0,40.0,-15.2782666667,-19.1499066667,14,7,13,17,-16.214,-20.5446,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-9.196,-14.2444,
CRR1966,41.0,45.0,39.0,11.0,31.0,-16.0526666667,-20.4607333333,15,7,12,19,-17.182,-20.0598,3,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-17.424,-28.7136,
CTM1817,13.0,16.0,15.0,24.0,41.0,-16.3269333333,-20.42304,16,4,8,16,-18.634,-20.2426,6,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-18.876,-31.2364,
DNT1801,46.0,36.0,43.0,20.0,29.0,-16.0042666667,-20.3939733333,16,5,9,17,-18.634,-20.2426,6,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-18.876,-31.2364,
DTC0840,39.0,23.0,37.0,24.0,37.0,-15.6170666667,-20.8652266667,13,5,11,13,-16.698,-22.2522,5,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-18.876,-31.7564,
VCM0992,12.0,30.0,30.0,45.0,25.0,-16.7706,-18.71234,13,4,6,11,-18.15,-17.755,1,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-20.328,-18.1592,
KJW1664,15.0,45.0,22.0,43.0,26.0,-15.2944,-20.1254933333,7,3,7,7,-17.424,-20.9136,5,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,18,-22.264,-16.6696,
BOS1170,40.0,46.0,41.0,38.0,29.0,-13.3261333333,-18.4505866667,7,4,8,8,-9.68,-18.552,1,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-9.196,-12.1644,
CAB1886,17.0,19.0,36.0,44.0,28.0,-15.9397333333,-20.66896,7,5,7,6,-18.392,-23.2888,1,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,18,-12.1,-13.05,
DHP0732,34.0,36.0,17.0,38.0,27.0,-14.9072,-17.3034133333,10,7,7,6,-15.488,-16.6832,2,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-11.616,-12.9024,
JDG0255,41.0,28.0,42.0,19.0,30.0,0,0,0,0,0,0,0,0,0,-10.9706666667,-11.6656,3,3,3,3,-10.648,-11.0472,1,18,-10.648,-10.5272,
RFC1991,45.0,13.0,33.0,34.0,30.0,-14.278,-18.9142,8,4,9,5,-14.52,-18.468,0,-14.84428,-19.726492,50,29,52,54,-15.004,-19.3956,8,18,-18.392,-20.1688,
DZH1867,14.0,17.0,47.0,24.0,36.0,-15.5848,-19.5553866667,13,6,12,17,-16.698,-21.4722,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-9.196,-14.2444,
MTP1582,16.0,39.0,17.0,27.0,29.0,-13.6004,-18.75956,16,10,16,16,-11.374,-14.9086,2,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,17,-20.812,-17.7868,
PKS1187,18.0,22.0,41.0,14.0,29.0,-15.9397333333,-19.31696,9,3,7,8,-17.908,-18.9812,5,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,5,-18.876,-11.9964,
LRW1357,21.0,30.0,24.0,16.0,37.0,-15.9397333333,-20.46096,12,4,12,19,-17.424,-22.4736,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-19.36,-26.184,
CLG0516,22.0,33.0,18.0,25.0,37.0,-14.4877333333,-21.6474933333,7,5,8,7,-14.52,-24.188,0,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-18.876,-19.7964,
HMW0602,39.0,44.0,37.0,33.0,31.0,-14.6652,-20.12428,12,7,9,12,-17.666,-18.6474,2,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-5.324,-21.9036,
QGC0435,42.0,36.0,15.0,44.0,31.0,-14.3586666667,-17.8641333333,20,11,14,15,-15.972,-16.3108,3,-15.617477707,-19.3226853503,89,39,59,90,-17.424,-17.7936,11,18,-18.876,-17.1964,
JDR0004,22.0,39.0,39.0,35.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,-19.36,-16.304,
RMB1821,22.0,19.0,48.0,14.0,32.0,-14.6006666667,-20.6072666667,11,6,17,15,-14.036,-21.9604,4,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,2,-13.068,-29.9852,
XBK0246,43.0,36.0,28.0,18.0,26.0,0,0,0,0,0,0,0,0,0,-15.004,-15.7556,5,3,3,1,-15.004,-14.1956,1,16,-7.26,-9.494,
HMM1058,23.0,18.0,18.0,13.0,22.0,-16.4721333333,-19.79132,16,5,12,17,-17.666,-18.9074,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-14.036,-16.7604,
LNS0317,41.0,24.0,41.0,23.0,26.0,-15.004,-20.7302666667,7,4,7,7,-16.94,-20.766,3,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-19.36,-27.744,
KDL1901,30.0,33.0,36.0,33.0,32.0,-14.9717333333,-17.0630933333,19,9,14,13,-16.94,-15.826,2,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-18.876,-14.0764,
LKL1895,15.0,44.0,36.0,24.0,28.0,-14.7942666667,-17.1649733333,18,9,14,14,-16.456,-15.6784,2,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-18.876,-14.0764,
BGR0917,43.0,37.0,17.0,28.0,28.0,-17.4724,-21.18836,9,1,6,11,-18.876,-22.1364,1,-15.4557333333,-19.40336,33,16,29,32,-16.456,-18.7984,6,18,-23.232,-24.2448,
MSS0799,41.0,46.0,19.0,30.0,26.0,-14.9314,-19.08746,12,7,10,10,-15.73,-18.057,3,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-10.648,-24.5672,
PHY0730,11.0,38.0,46.0,29.0,30.0,-14.8426666667,-17.5957333333,10,7,7,5,-15.488,-16.6832,2,-15.7321043478,-19.5565982609,63,29,47,52,-17.424,-18.3136,20,18,-11.616,-12.9024,
MME1034,36.0,26.0,42.0,22.0,39.0,-16.3430666667,-19.59596,16,5,12,16,-17.666,-18.9074,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-14.036,-16.7604,
NRR1835,37.0,41.0,17.0,44.0,29.0,-14.2457333333,-19.9790266667,12,7,18,16,-13.552,-20.2528,5,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-13.068,-29.9852,
PCB0567,34.0,40.0,42.0,28.0,32.0,-13.5278,-21.02542,7,4,12,12,-11.374,-22.9686,0,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-17.908,-25.2212,
AKP0503,20.0,19.0,16.0,16.0,26.0,-13.6488,-19.76232,7,6,9,7,-11.616,-19.6624,2,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-20.812,-22.4668,
MHP1377,50.0,12.0,42.0,34.0,27.0,-16.2301333333,-20.23752,13,5,12,20,-17.424,-21.4336,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-19.36,-26.184,
OCD1985,38.0,36.0,28.0,44.0,22.0,-0.0,-0.0,0,0,0,0,-0.0,-0.0,0,-15.1953488372,-20.6511627907,37,20,39,41,-17.424,-22.4736,12,6,-7.26,-21.974,
IYH1611,19.0,24.0,45.0,23.0,33.0,-14.6006666667,-19.1512666667,15,6,13,17,-16.456,-19.3184,8,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-16.94,-22.326,
DSH1074,37.0,39.0,21.0,49.0,29.0,-16.0042666667,-19.0939733333,18,4,9,12,-17.182,-17.1998,4,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-17.424,-14.1536,
LHD1233,36.0,45.0,18.0,34.0,25.0,-13.7698,-19.51322,8,5,11,11,-13.794,-20.5866,3,-15.69128,-20.0350586667,71,35,60,78,-17.424,-20.9136,15,18,-21.296,-23.1344,
CAG1416,36.0,39.0,20.0,46.0,26.0,-14.5684,-20.2334266667,15,7,14,18,-16.456,-19.3184,3,-15.1889681529,-19.7418165605,81,40,67,87,-17.424,-18.8336,21,18,-11.132,-11.1948,
HRR0079,36.0,40.0,36.0,39.0,26.0,-17.4885333333,-21.6266133333,6,3,4,7,-17.908,-22.6212,3,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-21.296,-29.8944,
VCF1602,33.0,22.0,28.0,42.0,39.0,-14.6329333333,-18.8317733333,16,7,13,17,-16.456,-17.7584,7,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,8,-16.94,-22.326,
ZOC0154,37.0,35.0,38.0,17.0,23.0,-15.9881333333,-21.1863866667,13,3,14,18,-16.94,-22.586,4,-15.68886,-20.186854,99,41,82,113,-17.424,-20.3936,26,18,-20.328,-28.0392,
ACM1770,36.0,39.0,18.0,16.0,26.0,-14.8749333333,-17.32824,18,9,14,14,-16.456,-16.4584,2,-15.121975,-19.2528275,82,38,70,74,-16.698,-19.3922,17,18,-10.164,-14.5396,
PRL0965,42.0,36.0,16.0,38.0,30.0,-17.0690666667,-22.8506933333,5,2,4,8,-18.392,-24.8488,3,-15.500626087,-20.6300069565,51,30,51,54,-16.456,-22.1784,12,18,-5.808,-14.2512,
RAS0197,41.0,20.0,35.0,19.0,34.0,-16.1010666667,-21.6888266667,10,6,10,16,-16.94,-23.366,3,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-21.296,-24.6944,
NKN1405,34.0,41.0,14.0,25.0,33.0,-16.0526666667,-18.6754,17,8,12,16,-18.15,-17.495,5,-15.3554394904,-19.6899082803,77,35,66,81,-16.94,-20.246,25,18,-16.94,-26.486,
KCL0099,22.0,37.0,24.0,38.0,29.0,-13.6004,-20.78756,8,4,12,13,-11.374,-22.7086,0,-14.5361333333,-19.3291866667,76,42,75,76,-15.488,-19.2832,14,18,-17.424,-14.1536,
