user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-C,Team_CPB-I-median,Team_CPB-O-median,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,Leader_CPB-I,Leader_CPB-O
HAR3571,43.0,34.0,39.0,39.0,31.0,-13.6832542373,-18.4155389831,35,37,-13.552,-17.1328,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.712,-18.2568,
NJM0440,43.0,20.0,43.0,20.0,32.0,0,0,0,0,0,0,-11.495,-19.2355,-10.406,-19.2934,-11.132,-11.7148,
IBW1779,42.0,50.0,18.0,43.0,29.0,-16.2946666667,-20.1606285714,20,14,-17.424,-20.9136,-14.9578338462,-19.7247212308,-15.972,-19.9508,-20.812,-26.6268,
DDF2937,34.0,26.0,31.0,30.0,29.0,-16.5708474576,-20.3978305085,30,20,-17.908,-20.5412,-15.4025108696,-20.250498913,-16.94,-20.766,-23.232,-25.2848,
NDH3827,25.0,15.0,38.0,42.0,35.0,-14.5834754098,-19.3227672131,29,31,-15.004,-20.1756,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.94,-30.646,
NLS1866,42.0,16.0,45.0,11.0,26.0,-15.4333548387,-19.2665354839,35,27,-16.698,-18.8722,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-12.8116,
MKM0647,12.0,20.0,37.0,15.0,19.0,-14.4644590164,-19.1330295082,35,32,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-17.0692,
DCR1531,41.0,42.0,21.0,29.0,25.0,-15.8752,-20.0725527273,29,21,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
BSB3083,39.0,43.0,26.0,21.0,31.0,-14.7458666667,-18.9991022222,25,23,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.132,-22.6348,
SLM1119,43.0,40.0,23.0,47.0,28.0,-15.1302608696,-19.4454086957,22,23,-15.246,-21.0294,-15.1798119658,-19.8936598291,-16.456,-20.6184,-9.196,-11.6444,
KCO0269,18.0,40.0,29.0,24.0,27.0,-14.0516129032,-19.415483871,17,16,-13.068,-18.5452,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.648,-25.6072,
HVS1143,37.0,42.0,50.0,37.0,30.0,-16.0877391304,-18.8104434783,26,16,-18.15,-18.015,-14.9218758837,-19.382605813,-15.972,-18.9108,-24.2,-17.26,
JRR0829,12.0,34.0,39.0,42.0,30.0,-15.0457241379,-19.9552206897,25,30,-15.004,-20.1756,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-12.832,
BMF2337,11.0,31.0,41.0,40.0,24.0,-14.5926,-18.8888066667,36,30,-15.488,-16.4232,-15.4025108696,-20.250498913,-16.94,-20.766,-10.164,-16.6196,
JRK2707,18.0,27.0,40.0,21.0,27.0,-14.256,-17.5365818182,29,23,-14.762,-16.4618,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-25.144,
CEC1352,50.0,25.0,39.0,34.0,38.0,-15.686,-19.3554,24,17,-16.456,-17.7584,-14.9578338462,-19.7247212308,-15.972,-19.9508,-16.456,-23.2184,
KDB0266,41.0,16.0,43.0,17.0,29.0,-15.0685333333,-18.9241688889,25,21,-15.488,-16.1632,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.26,-19.894,
MKR2138,22.0,44.0,31.0,22.0,24.0,-14.6813333333,-22.0386035088,17,27,-15.972,-23.5908,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-23.4364,
ALS3440,49.0,18.0,42.0,40.0,29.0,-15.3266666667,-21.4786666667,22,24,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-19.844,-25.8116,
AZG2343,39.0,42.0,34.0,46.0,30.0,-15.5673442623,-19.4778885246,35,23,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-7.26,-12.094,
RJS0846,46.0,42.0,35.0,41.0,35.0,-14.0996842105,-20.2419263158,19,19,-14.036,-20.1404,-15.0351142857,-20.0305742857,-16.456,-20.6184,-16.94,-19.206,
BRG3267,30.0,37.0,18.0,44.0,27.0,-15.2823,-19.46747,19,17,-16.456,-21.1384,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-11.4196,
QNW0977,42.0,43.0,25.0,19.0,32.0,-15.1626885246,-18.681042623,37,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
CNT0946,29.0,17.0,10.0,23.0,25.0,-15.3689836066,-18.7098557377,37,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
DMR2518,33.0,42.0,48.0,17.0,25.0,-14.9883870968,-18.2166451613,38,29,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.748,-18.8972,
DSB0245,36.0,22.0,15.0,38.0,31.0,0,0,0,0,0,0,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-18.9744,
LBR1387,30.0,43.0,36.0,39.0,34.0,-14.696,-20.2707636364,21,21,-15.73,-21.177,-15.1798119658,-19.8936598291,-16.456,-20.6184,-7.26,-21.454,
CKB3645,43.0,18.0,46.0,23.0,33.0,-15.488,-20.7198101695,24,27,-17.908,-24.1812,-15.0351142857,-20.0305742857,-16.456,-20.6184,-9.68,-24.792,
DHG0962,46.0,39.0,37.0,41.0,33.0,-16.0048135593,-19.7316542373,28,20,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-8.228,-20.1892,
HMR0098,35.0,21.0,10.0,17.0,25.0,-14.4565245902,-19.1135606557,35,32,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.26,-23.534,
TLW2668,36.0,41.0,24.0,36.0,25.0,-14.9932444444,-19.6985422222,23,18,-16.456,-20.0984,-14.9578338462,-19.7247212308,-15.972,-19.9508,-8.712,-20.8568,
LLH3157,42.0,43.0,40.0,16.0,25.0,-15.4449777778,-20.8416355556,19,19,-17.424,-21.4336,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.812,-26.1068,
WNC0874,17.0,19.0,12.0,37.0,26.0,-14.3926315789,-20.386,19,18,-16.214,-20.8046,-15.0351142857,-20.0305742857,-16.456,-20.6184,-5.324,-23.4636,
MNC0433,39.0,19.0,11.0,11.0,27.0,0,0,0,0,0,0,-13.9553333333,-15.9558,-13.068,-12.3052,-8.712,-8.8968,
IWG0058,38.0,24.0,22.0,40.0,33.0,0,0,0,0,0,0,-16.94,-21.9793333333,-18.634,-23.8826,-20.328,-19.7192,
LBM3284,41.0,50.0,43.0,40.0,26.0,-14.0275087719,-19.5493894737,30,30,-12.584,-18.9176,-15.0351142857,-20.0305742857,-16.456,-20.6184,-20.328,-32.1992,
HZH0297,40.0,35.0,30.0,27.0,30.0,-14.1888421053,-20.4606947368,18,19,-14.036,-21.4404,-15.0351142857,-20.0305742857,-16.456,-20.6184,-20.812,-18.3068,
UXC1495,33.0,47.0,37.0,41.0,32.0,-15.3065,-19.63085,20,21,-14.52,-18.988,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-12.4596,
KMC2028,19.0,16.0,20.0,32.0,27.0,-16.6864761905,-20.4163047619,20,13,-17.666,-20.9874,-14.9578338462,-19.7247212308,-15.972,-19.9508,-22.264,-14.5896,
HWV1621,30.0,44.0,44.0,25.0,30.0,-14.8371034483,-19.3178068966,31,26,-16.456,-19.0584,-14.8882043011,-19.4707172043,-16.456,-19.0584,-19.844,-14.3716,
EFC1153,26.0,21.0,35.0,34.0,33.0,-16.3086956522,-18.9117391304,26,15,-18.392,-18.0888,-14.9218758837,-19.382605813,-15.972,-18.9108,-24.2,-17.26,
CGT3148,16.0,18.0,30.0,34.0,26.0,-15.0147555556,-18.93088,26,22,-15.488,-17.7232,-14.9218758837,-19.382605813,-15.972,-18.9108,-9.68,-25.312,
JKC3349,42.0,19.0,47.0,29.0,29.0,-14.2907368421,-19.7300140351,29,29,-13.552,-19.2128,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-15.784,
RJW1440,43.0,38.0,26.0,20.0,28.0,-13.9891612903,-19.1616,17,16,-15.004,-18.6156,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.292,-17.5188,
ELB0033,16.0,22.0,14.0,37.0,37.0,0,0,0,0,0,0,-15.3290048309,-19.4859207729,-16.94,-19.206,-23.232,-33.0848,
RLP3268,10.0,37.0,27.0,35.0,33.0,-15.2823,-19.58447,19,17,-16.456,-21.1384,-15.0351142857,-20.0305742857,-16.456,-20.6184,-10.164,-11.4196,
WEC3721,37.0,41.0,49.0,16.0,29.0,-15.6493333333,-20.9617333333,26,23,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-6.776,-17.6664,
CRJ3070,20.0,47.0,16.0,49.0,25.0,-15.202,-19.7987090909,23,20,-16.698,-19.9122,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.392,-25.8888,
WRM0515,20.0,23.0,36.0,35.0,32.0,-14.6705777778,-19.5885866667,22,21,-15.488,-21.3632,-15.1798119658,-19.8936598291,-16.456,-20.6184,-16.94,-15.566,
ZNG3404,29.0,41.0,30.0,50.0,37.0,-15.1270508475,-19.2700745763,33,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.456,-16.9784,
NKV1451,14.0,38.0,37.0,12.0,22.0,-14.4151333333,-18.7133533333,33,30,-15.73,-17.277,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.292,-16.4788,
GSB0666,14.0,20.0,30.0,24.0,20.0,-14.9932444444,-18.7278755556,26,19,-16.94,-18.166,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.616,-21.2224,
FCK3307,39.0,36.0,34.0,30.0,31.0,-15.2944,-19.65316,19,17,-16.456,-21.9184,-15.0351142857,-20.0305742857,-16.456,-20.6184,-23.232,-13.8448,
RHD0787,38.0,44.0,22.0,19.0,20.0,-14.7351111111,-18.7069333333,26,20,-16.456,-18.0184,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-25.664,
MFL0355,41.0,23.0,38.0,19.0,34.0,0,0,0,0,0,0,-11.737,-19.4393,-10.648,-18.3272,-21.296,-14.8144,
SMO0458,38.0,21.0,18.0,20.0,34.0,-15.8446315789,-20.8151157895,8,7,-18.392,-22.7688,-15.3290048309,-19.4859207729,-16.94,-19.206,-18.392,-24.8488,
GMF1213,20.0,39.0,18.0,30.0,33.0,-15.532,-19.3557090909,24,18,-16.214,-17.6846,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.392,-13.4088,
JNR2260,42.0,38.0,20.0,44.0,30.0,-14.5361333333,-18.83692,36,31,-14.762,-16.2018,-15.4025108696,-20.250498913,-16.94,-20.766,-8.712,-25.0168,
AAH0721,19.0,39.0,30.0,44.0,24.0,-14.2569565217,-19.7103913043,22,26,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-21.78,-26.402,
ORB2880,19.0,30.0,22.0,44.0,35.0,-16.5380338983,-20.2644338983,30,20,-17.908,-20.5412,-15.4025108696,-20.250498913,-16.94,-20.766,-12.584,-24.6376,
BXG3763,25.0,14.0,22.0,42.0,36.0,-14.5914098361,-19.3251868852,29,31,-15.004,-20.1756,-14.8882043011,-19.4707172043,-16.456,-19.0584,-18.876,-21.3564,
BKF0427,39.0,43.0,17.0,19.0,32.0,-15.1626885246,-18.681042623,37,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
CCW2381,25.0,47.0,43.0,23.0,34.0,-14.9493548387,-18.1544193548,38,29,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-23.8292,
CXB2183,40.0,40.0,39.0,19.0,36.0,-14.6813333333,-20.6492,27,33,-14.036,-21.7004,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
MDP0161,44.0,18.0,39.0,20.0,24.0,-14.8749333333,-19.72024,22,20,-16.456,-20.6184,-15.1798119658,-19.8936598291,-16.456,-20.6184,-16.456,-16.4584,
ANM0564,37.0,45.0,42.0,38.0,41.0,-15.7703333333,-20.7559666667,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-31.6792,
MCS0512,11.0,18.0,19.0,21.0,23.0,-14.7243555556,-19.7667644444,21,21,-15.488,-21.3632,-15.1798119658,-19.8936598291,-16.456,-20.6184,-16.94,-15.566,
DKD2409,32.0,43.0,18.0,46.0,28.0,-14.8923076923,-18.3015384615,6,6,-15.972,-20.4708,-15.3290048309,-19.4859207729,-16.94,-19.206,-18.392,-24.3288,
SWR3808,10.0,39.0,30.0,22.0,32.0,-14.3930491803,-19.4351868852,28,32,-14.52,-21.588,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.94,-30.646,
CWA2549,44.0,41.0,22.0,16.0,24.0,-15.1572666667,-19.1130066667,33,29,-15.972,-17.6108,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-27.828,
BDK0854,42.0,33.0,21.0,42.0,27.0,-15.1008,-20.46512,27,25,-16.698,-21.7322,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
BBC3733,16.0,17.0,23.0,15.0,36.0,-15.8429333333,-21.02944,26,22,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-6.776,-17.6664,
KHP1043,30.0,30.0,16.0,15.0,24.0,-15.3589333333,-19.7291733333,8,6,-17.424,-17.7936,-15.3290048309,-19.4859207729,-16.94,-19.206,-10.648,-24.5672,
ANC1950,38.0,16.0,31.0,17.0,26.0,-14.7774468085,-19.8962978723,25,26,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-21.8264,
ISS0949,38.0,15.0,18.0,14.0,32.0,-16.2016949153,-20.0296610169,27,19,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-8.228,-20.1892,
AEH0187,43.0,41.0,10.0,10.0,28.0,-14.7996444444,-18.9230577778,25,22,-15.488,-16.1632,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-12.9092,
MDD1920,36.0,44.0,17.0,19.0,31.0,-14.6775813953,-21.3458232558,15,18,-16.456,-23.2184,-15.1798119658,-19.8936598291,-16.456,-20.6184,-17.908,-22.6212,
DAM0096,39.0,42.0,41.0,49.0,23.0,-15.7945333333,-20.6680133333,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-23.8292,
RAI1483,38.0,41.0,23.0,34.0,31.0,-14.3641355932,-19.1784338983,32,28,-16.456,-18.5384,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-12.4664,
UKC1192,18.0,20.0,41.0,10.0,26.0,-14.5364067797,-19.4424949153,31,27,-16.94,-19.206,-14.9218758837,-19.382605813,-15.972,-18.9108,-16.94,-26.486,
SIS3576,41.0,39.0,39.0,39.0,32.0,-13.541,-18.5121727273,26,27,-11.374,-16.2086,-14.9578338462,-19.7247212308,-15.972,-19.9508,-11.616,-11.3424,
